experiment,x_key,x,y_key,y,color,linestyle
NSGD,cumulative_time,1.8542850017547607,losses,25.88966178894043,gray,--
NSGD,cumulative_time,1.8875610828399658,losses,25.637161254882812,gray,--
NSGD,cumulative_time,1.9212534427642822,losses,25.389297485351562,gray,--
NSGD,cumulative_time,1.97194242477417,losses,25.14592742919922,gray,--
NSGD,cumulative_time,2.0051419734954834,losses,24.90690040588379,gray,--
NSGD,cumulative_time,2.037867546081543,losses,24.672107696533203,gray,--
NSGD,cumulative_time,2.0770533084869385,losses,24.44141960144043,gray,--
NSGD,cumulative_time,2.1112208366394043,losses,24.21471405029297,gray,--
NSGD,cumulative_time,2.1461122035980225,losses,23.991880416870117,gray,--
NSGD,cumulative_time,2.179762363433838,losses,23.772798538208008,gray,--
NSGD,cumulative_time,2.213531732559204,losses,23.557384490966797,gray,--
NSGD,cumulative_time,2.246474266052246,losses,23.345521926879883,gray,--
NSGD,cumulative_time,2.2813124656677246,losses,23.137126922607422,gray,--
NSGD,cumulative_time,2.3162686824798584,losses,22.93209457397461,gray,--
NSGD,cumulative_time,2.350785970687866,losses,22.7303409576416,gray,--
NSGD,cumulative_time,2.3851656913757324,losses,22.53179359436035,gray,--
NSGD,cumulative_time,2.420536994934082,losses,22.336360931396484,gray,--
NSGD,cumulative_time,2.455286741256714,losses,22.143951416015625,gray,--
NSGD,cumulative_time,2.492500066757202,losses,21.954513549804688,gray,--
NSGD,cumulative_time,2.5267903804779053,losses,21.767959594726562,gray,--
NSGD,cumulative_time,2.571082830429077,losses,21.584213256835938,gray,--
NSGD,cumulative_time,2.6087546348571777,losses,21.403228759765625,gray,--
NSGD,cumulative_time,2.6808021068573,losses,21.22492027282715,gray,--
NSGD,cumulative_time,2.736255168914795,losses,21.049226760864258,gray,--
NSGD,cumulative_time,2.7790420055389404,losses,20.876100540161133,gray,--
NSGD,cumulative_time,2.853679656982422,losses,20.70546531677246,gray,--
NSGD,cumulative_time,2.9158380031585693,losses,20.537275314331055,gray,--
NSGD,cumulative_time,2.9908292293548584,losses,20.371471405029297,gray,--
NSGD,cumulative_time,3.082287549972534,losses,20.2080020904541,gray,--
NSGD,cumulative_time,3.1663594245910645,losses,20.046812057495117,gray,--
NSGD,cumulative_time,3.199166774749756,losses,19.887849807739258,gray,--
NSGD,cumulative_time,3.23341965675354,losses,19.7310791015625,gray,--
NSGD,cumulative_time,3.296251058578491,losses,19.576440811157227,gray,--
NSGD,cumulative_time,3.3298161029815674,losses,19.423891067504883,gray,--
NSGD,cumulative_time,3.388896942138672,losses,19.27338409423828,gray,--
NSGD,cumulative_time,3.4220592975616455,losses,19.12488555908203,gray,--
NSGD,cumulative_time,3.4731831550598145,losses,18.978347778320312,gray,--
NSGD,cumulative_time,3.519493341445923,losses,18.833728790283203,gray,--
NSGD,cumulative_time,3.580906391143799,losses,18.69099235534668,gray,--
NSGD,cumulative_time,3.617246150970459,losses,18.55009651184082,gray,--
NSGD,cumulative_time,3.6496970653533936,losses,18.4110107421875,gray,--
NSGD,cumulative_time,3.6850178241729736,losses,18.27369499206543,gray,--
NSGD,cumulative_time,3.7230758666992188,losses,18.138113021850586,gray,--
NSGD,cumulative_time,3.760085344314575,losses,18.004234313964844,gray,--
NSGD,cumulative_time,3.796757221221924,losses,17.872020721435547,gray,--
NSGD,cumulative_time,3.830411911010742,losses,17.74144744873047,gray,--
NSGD,cumulative_time,3.8787381649017334,losses,17.612478256225586,gray,--
NSGD,cumulative_time,3.9108505249023438,losses,17.48508071899414,gray,--
NSGD,cumulative_time,3.948690176010132,losses,17.359233856201172,gray,--
NSGD,cumulative_time,3.9831478595733643,losses,17.234901428222656,gray,--
NSGD,cumulative_time,4.01865816116333,losses,17.11205291748047,gray,--
NSGD,cumulative_time,4.052017688751221,losses,16.99066925048828,gray,--
NSGD,cumulative_time,4.09938907623291,losses,16.870716094970703,gray,--
NSGD,cumulative_time,4.132314205169678,losses,16.752174377441406,gray,--
NSGD,cumulative_time,4.1637115478515625,losses,16.6350154876709,gray,--
NSGD,cumulative_time,4.201096773147583,losses,16.519214630126953,gray,--
NSGD,cumulative_time,4.235144138336182,losses,16.404743194580078,gray,--
NSGD,cumulative_time,4.28303599357605,losses,16.291587829589844,gray,--
NSGD,cumulative_time,4.3267998695373535,losses,16.179718017578125,gray,--
NSGD,cumulative_time,4.367596387863159,losses,16.069110870361328,gray,--
NSGD,cumulative_time,4.414100170135498,losses,15.959748268127441,gray,--
NSGD,cumulative_time,4.457513332366943,losses,15.851608276367188,gray,--
NSGD,cumulative_time,4.494077920913696,losses,15.744668960571289,gray,--
NSGD,cumulative_time,4.5319178104400635,losses,15.63891315460205,gray,--
NSGD,cumulative_time,4.5691680908203125,losses,15.534313201904297,gray,--
NSGD,cumulative_time,4.606326341629028,losses,15.430859565734863,gray,--
NSGD,cumulative_time,4.652531147003174,losses,15.328527450561523,gray,--
NSGD,cumulative_time,4.701649904251099,losses,15.227299690246582,gray,--
NSGD,cumulative_time,4.7376439571380615,losses,15.127159118652344,gray,--
NSGD,cumulative_time,4.77642822265625,losses,15.028083801269531,gray,--
NSGD,cumulative_time,4.821518898010254,losses,14.930057525634766,gray,--
NSGD,iterations,0.0,grad_spectral_norms,2.0190553665161133,gray,--
NSGD,iterations,100.0,grad_spectral_norms,0.7988834381103516,gray,--
NSGD,iterations,200.0,grad_spectral_norms,0.7554553747177124,gray,--
NSGD,iterations,300.0,grad_spectral_norms,0.7231151461601257,gray,--
NSGD,iterations,400.0,grad_spectral_norms,0.6965131163597107,gray,--
NSGD,iterations,500.0,grad_spectral_norms,0.6736562848091125,gray,--
NSGD,iterations,600.0,grad_spectral_norms,0.6533976197242737,gray,--
NSGD,iterations,700.0,grad_spectral_norms,0.6351436972618103,gray,--
NSGD,iterations,800.0,grad_spectral_norms,0.6185099482536316,gray,--
NSGD,iterations,900.0,grad_spectral_norms,0.6031371355056763,gray,--
NSGD,iterations,1000.0,grad_spectral_norms,0.5888572335243225,gray,--
NSGD,iterations,1100.0,grad_spectral_norms,0.5755565762519836,gray,--
NSGD,iterations,1200.0,grad_spectral_norms,0.5630252361297607,gray,--
NSGD,iterations,1300.0,grad_spectral_norms,0.551209032535553,gray,--
NSGD,iterations,1400.0,grad_spectral_norms,0.5400518774986267,gray,--
NSGD,iterations,1500.0,grad_spectral_norms,0.5294704437255859,gray,--
NSGD,iterations,1600.0,grad_spectral_norms,0.5193769931793213,gray,--
NSGD,iterations,1700.0,grad_spectral_norms,0.5097711086273193,gray,--
NSGD,iterations,1800.0,grad_spectral_norms,0.5005906224250793,gray,--
NSGD,iterations,1900.0,grad_spectral_norms,0.4918144643306732,gray,--
NSGD,iterations,2000.0,grad_spectral_norms,0.48338958621025085,gray,--
NSGD,iterations,2100.0,grad_spectral_norms,0.4753076732158661,gray,--
NSGD,iterations,2200.0,grad_spectral_norms,0.46753937005996704,gray,--
NSGD,iterations,2300.0,grad_spectral_norms,0.46007320284843445,gray,--
NSGD,iterations,2400.0,grad_spectral_norms,0.45287978649139404,gray,--
NSGD,iterations,2500.0,grad_spectral_norms,0.44595515727996826,gray,--
NSGD,iterations,2600.0,grad_spectral_norms,0.43927618861198425,gray,--
NSGD,iterations,2700.0,grad_spectral_norms,0.43282508850097656,gray,--
NSGD,iterations,2800.0,grad_spectral_norms,0.42660462856292725,gray,--
NSGD,iterations,2900.0,grad_spectral_norms,0.42059388756752014,gray,--
NSGD,iterations,3000.0,grad_spectral_norms,0.41477614641189575,gray,--
NSGD,iterations,3100.0,grad_spectral_norms,0.40913623571395874,gray,--
NSGD,iterations,3200.0,grad_spectral_norms,0.4036823809146881,gray,--
NSGD,iterations,3300.0,grad_spectral_norms,0.398424357175827,gray,--
NSGD,iterations,3400.0,grad_spectral_norms,0.393294095993042,gray,--
NSGD,iterations,3500.0,grad_spectral_norms,0.3883475661277771,gray,--
NSGD,iterations,3600.0,grad_spectral_norms,0.3835308253765106,gray,--
NSGD,iterations,3700.0,grad_spectral_norms,0.3788587152957916,gray,--
NSGD,iterations,3800.0,grad_spectral_norms,0.37431731820106506,gray,--
NSGD,iterations,3900.0,grad_spectral_norms,0.369893878698349,gray,--
NSGD,iterations,4000.0,grad_spectral_norms,0.36559996008872986,gray,--
NSGD,iterations,4100.0,grad_spectral_norms,0.361429899930954,gray,--
NSGD,iterations,4200.0,grad_spectral_norms,0.35736697912216187,gray,--
NSGD,iterations,4300.0,grad_spectral_norms,0.35338956117630005,gray,--
NSGD,iterations,4400.0,grad_spectral_norms,0.34953632950782776,gray,--
NSGD,iterations,4500.0,grad_spectral_norms,0.3457604646682739,gray,--
NSGD,iterations,4600.0,grad_spectral_norms,0.34207552671432495,gray,--
NSGD,iterations,4700.0,grad_spectral_norms,0.33847591280937195,gray,--
NSGD,iterations,4800.0,grad_spectral_norms,0.3349635601043701,gray,--
NSGD,iterations,4900.0,grad_spectral_norms,0.3315243721008301,gray,--
NSGD,iterations,5000.0,grad_spectral_norms,0.3281709551811218,gray,--
NSGD,iterations,5100.0,grad_spectral_norms,0.3248763978481293,gray,--
NSGD,iterations,5200.0,grad_spectral_norms,0.32166534662246704,gray,--
NSGD,iterations,5300.0,grad_spectral_norms,0.318514883518219,gray,--
NSGD,iterations,5400.0,grad_spectral_norms,0.3154151439666748,gray,--
NSGD,iterations,5500.0,grad_spectral_norms,0.31239643692970276,gray,--
NSGD,iterations,5600.0,grad_spectral_norms,0.3094264566898346,gray,--
NSGD,iterations,5700.0,grad_spectral_norms,0.30650055408477783,gray,--
